iter	Passed	Remaining
0	50	25159
1	99	24874
2	147	24493
3	190	23665
4	239	23663
5	290	23919
6	337	23737
7	387	23803
8	444	24237
9	500	24517
10	550	24470
11	598	24326
12	649	24328
13	704	24448
14	753	24362
15	806	24405
16	857	24358
17	907	24309
18	957	24251
19	1008	24195
20	1056	24094
21	1105	24015
22	1153	23922
23	1200	23804
24	1245	23673
25	1265	23071
26	1318	23098
27	1370	23102
28	1425	23154
29	1486	23288
30	1540	23303
31	1587	23221
32	1636	23160
33	1688	23143
34	1748	23231
35	1801	23224
36	1853	23195
37	1901	23114
38	1952	23080
39	2001	23016
40	2050	22953
41	2101	22917
42	2148	22831
43	2200	22807
44	2248	22738
45	2300	22701
46	2346	22617
47	2393	22536
48	2444	22495
49	2496	22469
50	2553	22480
51	2603	22434
52	2668	22506
53	2719	22464
54	2777	22471
55	2829	22432
56	2884	22420
57	2937	22387
58	2989	22341
59	3046	22341
60	3198	23021
61	3324	23485
62	3415	23693
63	3482	23722
64	3585	23994
65	3642	23949
66	3700	23915
67	3758	23879
68	3815	23834
69	3872	23791
70	3928	23734
71	3989	23716
72	4049	23688
73	4101	23610
74	4156	23552
75	4212	23498
76	4263	23423
77	4318	23361
78	4376	23322
79	4444	23335
80	4507	23317
81	4563	23262
82	4619	23208
83	4680	23180
84	4737	23129
85	4791	23065
86	4858	23062
87	4920	23034
88	4971	22957
89	5029	22910
90	5081	22839
91	5138	22786
92	5169	22623
93	5226	22573
94	5296	22579
95	5359	22555
96	5421	22525
97	5481	22484
98	5542	22448
99	5597	22391
100	5652	22329
101	5707	22271
102	5768	22233
103	5826	22186
104	5881	22127
105	5942	22088
106	6043	22195
107	6206	22528
108	6319	22667
109	6402	22699
110	6511	22818
111	6572	22770
112	6641	22746
113	6709	22718
114	6770	22666
115	6837	22635
116	6892	22564
117	6950	22502
118	7007	22434
119	7060	22357
120	7120	22302
121	7175	22232
122	7227	22151
123	7286	22095
124	7339	22017
125	7394	21948
126	7452	21888
127	7522	21862
128	7579	21799
129	7639	21742
130	7702	21694
131	7753	21616
132	7810	21552
133	7864	21479
134	7911	21390
135	7971	21336
136	8030	21278
137	8049	21116
138	8097	21030
139	8143	20939
140	8189	20850
141	8237	20767
142	8285	20684
143	8330	20594
144	8388	20538
145	8450	20488
146	8499	20411
147	8548	20330
148	8595	20247
149	8644	20171
150	8693	20092
151	8740	20011
152	8790	19935
153	8843	19868
154	8893	19794
155	8939	19711
156	8988	19636
157	9034	19556
158	9083	19480
159	9130	19402
160	9176	19322
161	9223	19243
162	9275	19177
163	9323	19101
164	9371	19027
165	9424	18963
166	9471	18885
167	9516	18806
168	9562	18729
169	9607	18649
170	9654	18574
171	9703	18503
172	9749	18428
173	9794	18349
174	9842	18278
175	9885	18198
176	9929	18119
177	9976	18046
178	10019	17967
179	10064	17893
180	10125	17846
181	10174	17776
182	10219	17701
183	10269	17635
184	10312	17558
185	10355	17482
186	10400	17408
187	10447	17337
188	10493	17266
189	10538	17193
190	10588	17129
191	10635	17060
192	10679	16987
193	10725	16916
194	10769	16845
195	10815	16774
196	10858	16700
197	10902	16628
198	10945	16556
199	10992	16488
200	11038	16419
201	11081	16347
202	11123	16273
203	11165	16201
204	11209	16130
205	11254	16062
206	11297	15990
207	11341	15921
208	11384	15851
209	11431	15786
210	11477	15720
211	11520	15650
212	11562	15579
213	11606	15510
214	11651	15444
215	11694	15375
216	11737	15307
217	11782	15242
218	11834	15185
219	11886	15128
220	11930	15061
221	11976	14996
222	12025	14937
223	12072	14874
224	12114	14806
225	12159	14742
226	12202	14674
227	12249	14613
228	12300	14556
229	12347	14495
230	12397	14436
231	12443	14374
232	12493	14316
233	12535	14250
234	12579	14185
235	12623	14120
236	12667	14057
237	12713	13996
238	12758	13932
239	12801	13868
240	12844	13804
241	12890	13742
242	12933	13678
243	12977	13616
244	13021	13552
245	13063	13487
246	13106	13425
247	13150	13362
248	13193	13299
249	13240	13240
250	13285	13179
251	13328	13116
252	13373	13056
253	13420	12997
254	13470	12941
255	13515	12882
256	13571	12832
257	13616	12772
258	13664	12714
259	13709	12655
260	13779	12617
261	13837	12570
262	13896	12522
263	13941	12463
264	13966	12385
265	14017	12331
266	14061	12271
267	14103	12208
268	14146	12148
269	14188	12086
270	14234	12028
271	14278	11968
272	14318	11905
273	14365	11848
274	14413	11792
275	14459	11734
276	14503	11676
277	14545	11615
278	14585	11553
279	14635	11498
280	14679	11440
281	14723	11382
282	14765	11321
283	14813	11266
284	14861	11211
285	14908	11155
286	14947	11093
287	14994	11037
288	15037	10978
289	15079	10919
290	15118	10858
291	15179	10812
292	15221	10753
293	15269	10699
294	15314	10641
295	15357	10584
296	15402	10527
297	15448	10471
298	15494	10416
299	15536	10357
300	15578	10299
301	15623	10243
302	15665	10185
303	15711	10129
304	15751	10070
305	15795	10013
306	15841	9959
307	15883	9901
308	15925	9844
309	15969	9787
310	16010	9730
311	16051	9672
312	16093	9614
313	16139	9560
314	16181	9503
315	16224	9447
316	16275	9395
317	16327	9344
318	16375	9291
319	16421	9237
320	16465	9181
321	16509	9126
322	16553	9071
323	16596	9015
324	16641	8960
325	16683	8904
326	16724	8848
327	16768	8793
328	16813	8739
329	16856	8683
330	16902	8629
331	16946	8575
332	16992	8521
333	17032	8465
334	17074	8409
335	17116	8354
336	17160	8300
337	17201	8244
338	17245	8190
339	17287	8135
340	17330	8080
341	17377	8028
342	17425	7976
343	17472	7923
344	17513	7868
345	17558	7815
346	17600	7760
347	17644	7706
348	17687	7652
349	17732	7599
350	17774	7545
351	17835	7498
352	17879	7445
353	17920	7390
354	17966	7338
355	18009	7284
356	18050	7230
357	18092	7176
358	18135	7122
359	18178	7069
360	18222	7016
361	18269	6964
362	18330	6918
363	18377	6866
364	18422	6813
365	18468	6761
366	18513	6709
367	18555	6655
368	18598	6602
369	18643	6550
370	18687	6497
371	18733	6445
372	18778	6393
373	18822	6341
374	18866	6288
375	18912	6237
376	18955	6184
377	18996	6131
378	19038	6078
379	19080	6025
380	19125	5973
381	19170	5921
382	19213	5869
383	19257	5817
384	19303	5766
385	19352	5715
386	19396	5663
387	19442	5612
388	19485	5560
389	19527	5507
390	19578	5457
391	19625	5406
392	19666	5354
393	19710	5302
394	19753	5251
395	19801	5200
396	19846	5149
397	19891	5097
398	19932	5045
399	19979	4994
400	20021	4942
401	20062	4890
402	20106	4839
403	20149	4788
404	20191	4736
405	20238	4685
406	20279	4633
407	20324	4582
408	20370	4532
409	20416	4481
410	20463	4431
411	20503	4379
412	20544	4327
413	20590	4277
414	20636	4226
415	20687	4177
416	20749	4129
417	20797	4079
418	20846	4030
419	20907	3982
420	20952	3931
421	20999	3881
422	21054	3832
423	21120	3785
424	21209	3742
425	21296	3699
426	21370	3653
427	21433	3605
428	21481	3555
429	21528	3504
430	21577	3454
431	21626	3404
432	21672	3353
433	21729	3304
434	21776	3253
435	21825	3203
436	21871	3153
437	21917	3102
438	21967	3052
439	22011	3001
440	22058	2951
441	22106	2900
442	22152	2850
443	22209	2801
444	22269	2752
445	22345	2705
446	22413	2657
447	22479	2609
448	22545	2560
449	22613	2512
450	22683	2464
451	22735	2414
452	22791	2364
453	22851	2315
454	22899	2264
455	22950	2214
456	22996	2163
457	23044	2113
458	23096	2063
459	23159	2013
460	23244	1966
461	23308	1917
462	23376	1868
463	23444	1818
464	23512	1769
465	23580	1720
466	23638	1670
467	23697	1620
468	23766	1570
469	23832	1521
470	23892	1471
471	23945	1420
472	23996	1369
473	24044	1318
474	24089	1267
475	24150	1217
476	24208	1167
477	24253	1116
478	24322	1066
479	24390	1016
480	24444	965
481	24492	914
482	24533	863
483	24580	812
484	24625	761
485	24668	710
486	24735	660
487	24818	610
488	24866	559
489	24909	508
490	24951	457
491	24996	406
492	25040	355
493	25087	304
494	25135	253
